year,CS,cpi,trim,median,deflator,time,gdpgrowth,interestrate,_est_est1
2004,,,,,,2004,,,0
2005,39473,2.3000031,.080000043,.1500001,2.5412521,2005,.11809063,-.51267719,1
2006,41229,2.0999985,.28999996,.15999997,2.1609802,2006,-.57251072,.14083052,1
2007,48387,2.4000015,.54999995,.49000001,2.846405,2007,-.58803916,.062007427,1
2008,36480,2.5999985,-.18999982,.089999914,3.5601883,2008,-1.0544982,-.66446495,1
2009,3186,.30000305,-.61000013,-.52999997,-2.1539688,2009,-3.9104927,-.37468338,1
2010,45025,2.0999985,-.50999999,-.42999995,2.5778198,2010,6.0058928,.0045211315,1
2011,40364,3.4000015,.48000002,.25,3.0196381,2011,.046387911,-.45210385,1
2012,30969,1.7999954,-.13,-.10000002,1.1708145,2012,-1.381533,-.90962613,1
2013,40033,1.1000061,-.43999994,-.16999996,1.6930618,2013,.57015216,.38854873,1
2014,48167,2.3999939,.43999994,.13999999,1.9208984,2014,.5476532,-.031128645,1
2015,35826,1.4000015,0,.049999952,-.87524414,2015,-2.2234957,-.70913565,1
2016,31589,1.7999954,.19000006,.21000004,.71697998,2016,.38857996,-.26993692,1
2017,55485,2,-.38,-.36000001,2.589447,2017,1.995284,.53189445,1
2018,51293,3,.51999998,.28999996,1.7057114,2018,-.29087162,.49426007,1
2019,40370,2.6000061,.11999989,.14999998,1.623558,2019,-.83453143,-.68902957,1
2020,-74820,1,-.31999993,-.16999996,1.1418686,2020,-6.9466653,-.83577389,1
2021,110361,4.6000061,.16999996,.75000012,8.2610092,2021,10.32519,.60570246,1
2022,152518,9.5999908,3.3200002,2.1599998,8.8813782,2022,-1.4670904,1.4117751,1
2023,83228,5.9000092,-1.3699999,-.80999994,1.91716,2023,-2.5709391,.59060621,1
